Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,10nF,C100042
"C2, C3, C6",0603,3,100nF,C1591
"C4, C5",1210,2,47uF,C90142
"D1, D2, D4, D5",D_SOD-323_HandSoldering,4,FR107WS,C3013756
D3,D_SOD-323_HandSoldering,1,5.1V,C2891762
"F1, F2",0603,2,1A,C151139
"FID1, FID2, FID3",Fiducial_0.75mm_Mask1.5mm,3,Fiducial,
J1,Wire_pad_1x2_P1.27,1,Conn_01x02,
J2,FanPinHeader_1x04_P2.54mm_Vertical,1,MX-47053-1000,MX-47053-1000
J3,Wire_Pad_1x2_2.54P,1,12V 1A,
Q1,SOT-23,1,Q_NMOS_GSD,C4748722
R1,0603,1,4.7k,C23162
"R2, R4",0603,2,220,C22962
"R3, R5, R6",0603,3,1k,C22548
"RV1, RV2",Potentiometer_Piher_PT-6-H_Horizontal,2,1k,PT6LH-1K
SW1,SW_Slide_SPDT_Angled_CK_OS102011MA1Q,1,SW_SPDT,OS102011MA1QN1
"U1, U2",TSSOP-8_4.4x3mm_P0.65mm,2,NE555P,C105643
